part,field_size,num_threads,cycles,instructions,ipc,cache_misses,cache_references,cache_miss_rate,context_switches
A1,64,1,39475195,9349864,.2368,1106106,2044604,54.0900,216
A1,64,2,72915496,17258203,.2366,1852938,3554949,52.1200,424
A1,64,4,145423266,37288888,.2564,4599321,8462836,54.3400,955
A1,64,8,239993734,65051738,.2710,8261668,14971110,55.1800,1689
A1,256,1,57339554,15545897,.2711,1766876,3437616,51.3900,290
A1,256,2,422731044,144562673,.3419,14328400,30054106,47.6700,1908
A1,256,4,196384431,56520305,.2878,6127387,12387626,49.4600,1098
A1,256,8,559373781,176348970,.3152,18548918,37760578,49.1200,3010
A1,1024,1,481972275,201811501,.4187,11534759,36783696,31.3500,1422
A1,1024,2,889358924,377343170,.4242,21468263,68559150,31.3100,2655
A1,1024,4,1632860714,693133905,.4244,38828402,125871495,30.8400,4850
A1,1024,8,3505906322,1488156819,.4244,82573726,269166223,30.6700,10464
A1,4096,1,21837116057,10297739406,.4715,451861353,1902142262,23.7500,55850
A1,4096,2,39078594641,18378336340,.4702,794469453,3374442398,23.5400,104698
A1,4096,4,66151152030,28277084440,.4274,1203171466,5109932790,23.5400,156705
A1,4096,8,112375457443,39484434771,.3513,1470317153,6848773075,21.4600,245560
A2,64,1,42492945,9906023,.2331,1109381,2092101,53.0200,214
A2,64,2,80720228,18496871,.2291,2130726,3997563,53.3000,429
A2,64,4,154138040,39639171,.2571,4701976,8785736,53.5100,948
A2,64,8,287522828,69679094,.2423,7935811,14964172,53.0300,1678
A2,256,1,64854783,15728832,.2425,1636074,3288488,49.7500,265
A2,256,2,450791965,155571404,.3451,15007026,31960498,46.9500,1908
A2,256,4,201773672,58862539,.2917,6345088,12907003,49.1600,1049
A2,256,8,435136643,118110613,.2714,12662830,25620658,49.4200,2149
A2,1024,1,457718323,185086619,.4043,10792756,33905112,31.8300,1249
A2,1024,2,1237521711,523237410,.4228,30842059,97146993,31.7400,3385
A2,1024,4,2069915834,862506985,.4166,51231940,159984373,32.0200,5709
A2,1024,8,4762915157,1995219470,.4189,119332090,372310910,32.0500,13112
A2,4096,1,21312543835,9867067697,.4629,457004495,1843698570,24.7800,50251
A2,4096,2,38604787844,17735066659,.4594,803483378,3284407889,24.4600,93993
A2,4096,4,74897780705,30779649404,.4109,1390654072,5644725530,24.6300,160789
A2,4096,8,104265049315,36538663416,.3504,1381411280,6360148074,21.7100,216438
A3,64,1,47243393,11411297,.2415,1324059,2533895,52.2500,322
A3,64,2,91816484,23815233,.2593,2856468,5447629,52.4300,716
A3,64,4,164884933,41277352,.2503,4826505,9308847,51.8400,1260
A3,64,8,292013243,81428700,.2788,9849433,18837611,52.2800,2529
A3,256,1,164299763,51093215,.3109,5840901,11739717,49.7500,1001
A3,256,2,435833879,145448513,.3337,15492459,32444311,47.7500,2609
A3,256,4,781801562,254538413,.3255,25941890,55523064,46.7200,4358
A3,256,8,1724926034,602888969,.3495,63279628,133336050,47.4500,10194
A3,1024,1,311139173,120021608,.3857,8606617,24766939,34.7500,976
A3,1024,2,681113648,266829092,.3917,19603870,56012136,34.9900,2097
A3,1024,4,1483712583,584866973,.3941,42365662,121949767,34.7400,4623
A3,1024,8,2971613313,1184515803,.3986,82880079,243634178,34.0100,9393
A3,4096,1,20499727968,8538678110,.4165,658121770,1933183888,34.0400,40358
A3,4096,2,37578446744,15810780403,.4207,1090285843,3405447390,32.0100,79598
A3,4096,4,75483270897,30009747980,.3975,1883149653,6165022952,30.5400,143443
A3,4096,8,109139400671,37155956381,.3404,1770599067,6806830094,26.0100,204004
